rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
425,6000,Metals & Mining,Alexander Abramov,64,Russia,Moscow,"Steel, mining",Metals & Mining,Russia,,TRUE,U,M,2/20/1959 0:00,Abramov,Alexander,,04-04-2023 05:01,,,1959,2,20,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
437,5900,Real Estate,Cai Kui,60,China,Chengdu,Real estate,Real Estate,China,,TRUE,D,M,1/1/1963 0:00,Cai,Kui,,04-04-2023 05:01,,,1963,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
442,5800,Finance & Investments,Josh Harris,58,United States,Miami,Private equity,Finance & Investments,United States,,TRUE,E,M,12/29/1964 0:00,Harris,Josh,,04-04-2023 05:01,Florida,South,1964,12,29,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
445,5700,Metals & Mining,Rinat Akhmetov,56,Ukraine,Donetsk,"Steel, coal",Metals & Mining,Ukraine,,TRUE,U,M,9/21/1966 0:00,Akhmetov,Rinat,,04-04-2023 05:01,,,1966,9,21,281.66,7.9,"$153,781,069,118 ",82.7,99,71.6,20.1,45.2,44385155,48.379433,31.16558
455,5600,Logistics,Maria Angelicoussis,41,Greece,,Shipping,Logistics,Greece,,FALSE,N,F,2/18/1982 0:00,Angelicoussis,Maria,,04-04-2023 05:01,,,1982,2,18,101.87,0.2,"$209,852,761,469 ",136.6,99.6,81.3,26.2,51.9,10716322,39.074208,21.824312
466,5500,Service,Micky Arison,73,United States,Bal Harbour,Carnival Cruises,Service,United States,Carnival Corp.,FALSE,D,M,6/29/1949 0:00,Arison,Micky,Chairman and CEO,04-04-2023 05:01,Florida,South,1949,6,29,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
486,5400,Fashion & Retail,Patrizio Bertelli,77,Italy,Milan,Luxury goods,Fashion & Retail,Italy,,TRUE,U,M,1/1/1946 0:00,Bertelli,Patrizio,,04-04-2023 05:01,,,1946,1,1,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396,41.87194,12.56738
497,5300,Finance & Investments,Todd Boehly,49,United States,Darien,Finance,Finance & Investments,United States,,TRUE,U,M,9/20/1973 0:00,Boehly,Todd,,04-04-2023 05:01,Connecticut,Northeast,1973,9,20,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
511,5200,Finance & Investments,Alexandre Behring,56,United States,Greenwich,Investments,Finance & Investments,Brazil,,TRUE,U,M,2/20/1967 0:00,Behring,Alexandre,,04-04-2023 05:01,Connecticut,Northeast,1967,2,20,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
523,5100,Manufacturing,Fang Wei,49,China,Beijing,Steel,Manufacturing,China,,TRUE,U,M,9/4/1973 0:00,Fang,Wei,,04-04-2023 05:01,,,1973,9,4,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
534,5000,Finance & Investments,Ron Baron,79,United States,New York,Money management,Finance & Investments,United States,,TRUE,U,M,5/23/1943 0:00,Baron,Ron,,04-04-2023 05:01,New York,Northeast,1943,5,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
552,4900,Manufacturing,Jim Davis & family,79,United States,Newton,New Balance,Manufacturing,United States,New Balance,TRUE,D,M,5/17/1943 0:00,Davis,Jim,Chairman,04-04-2023 05:01,Massachusetts,Northeast,1943,5,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
567,4800,Fashion & Retail,Michael Ashley,58,United Kingdom,Hertfordshire,Sports retailing,Fashion & Retail,United Kingdom,,TRUE,U,M,9/12/1964 0:00,Ashley,Michael,,04-04-2023 05:01,,,1964,9,12,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
580,4700,Diversified,Maria Fernanda Amorim & family,88,Portugal,Grijo,"Energy, investments",Diversified,Portugal,,FALSE,E,F,1/16/1935 0:00,Amorim,Maria Fernanda,,04-04-2023 05:01,,,1935,1,16,110.62,0.3,"$237,686,075,635 ",63.9,106.2,81.3,22.8,39.8,10269417,39.399872,-8.224454
591,4600,Food & Beverage,Bert Beveridge,61,United States,Austin,Vodka,Food & Beverage,United States,,TRUE,U,M,1/1/1962 0:00,Beveridge,Bert,,04-04-2023 05:01,Texas,South,1962,1,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
611,4500,Food & Beverage,Juan Domingo Beckmann Legorreta & family,55,Mexico,,Tequila,Food & Beverage,Mexico,,FALSE,U,M,7/1/1967 0:00,Beckmann Legorreta,Juan Domingo,,04-04-2023 05:01,,,1967,7,1,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784
624,4400,Healthcare,Stéphane Bancel,50,United States,Boston,"Biotech, vaccines",Healthcare,France,,TRUE,D,M,7/20/1972 0:00,Bancel,Stéphane,,04-04-2023 05:01,Massachusetts,Northeast,1972,7,20,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
636,4300,Telecom,Patrick Drahi,59,Switzerland,Zermatt,Telecom,Telecom,France,,TRUE,D,M,8/20/1963 0:00,Drahi,Patrick,,04-04-2023 05:01,,,1963,8,20,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
659,4200,Service,Shari Arison,65,Israel,Tel Aviv,Carnival Cruises,Service,Israel,,FALSE,D,F,9/9/1957 0:00,Arison,Shari,"Investor, Philanthropist",04-04-2023 05:01,,,1957,9,9,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,23.1,25.3,9053300,31.046051,34.851612
679,4100,Food & Beverage,Andrej Babis,68,Czech Republic,Prague,Agriculture,Food & Beverage,Czech Republic,,TRUE,D,M,9/2/1954 0:00,Babis,Andrej,,04-04-2023 05:01,,,1954,9,2,116.48,2.8,"$246,489,245,495 ",64.1,100.7,79,14.9,46.1,10669709,49.817492,15.472962
699,4000,Energy,Sid Bass,80,United States,Fort Worth,"Oil, investments",Energy,United States,,FALSE,U,M,4/9/1942 0:00,Bass,Sid,,04-04-2023 05:01,Texas,South,1942,4,9,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
721,3900,Manufacturing,Juergen Blickle,76,Germany,Bruchsal,Auto parts,Manufacturing,Germany,,FALSE,D,M,1/1/1947 0:00,Blickle,Juergen,,04-04-2023 05:01,,,1947,1,1,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
748,3800,Service,Rahul Bhatia,63,India,Delhi,Aviation,Service,India,,FALSE,Split Family Fortune,M,6/10/1959 0:00,Bhatia,Rahul,,04-04-2023 05:01,,,1959,6,10,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
766,3700,Finance & Investments,Hayes Barnard,51,United States,Austin,Fintech,Finance & Investments,United States,,TRUE,N,M,2/15/1972 0:00,Barnard,Hayes,,04-04-2023 05:01,Texas,South,1972,2,15,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
787,3600,Diversified,Rajiv Bajaj,56,India,Pune,Diversified,Diversified,India,,FALSE,Split Family Fortune,M,12/21/1966 0:00,Bajaj,Rajiv,,04-04-2023 05:01,,,1966,12,21,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
818,3500,Fashion & Retail,Rocco Basilico,33,United States,Los Angeles,Eyeglasses,Fashion & Retail,Italy,,FALSE,N,M,7/11/1989 0:00,Basilico,Rocco,,04-04-2023 05:01,California,West,1989,7,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
852,3400,Finance & Investments,William Ackman,56,United States,New York,Hedge funds,Finance & Investments,United States,"Pershing Square Capital Management, L.P.",TRUE,U,M,5/11/1966 0:00,Ackman,William,"Founder, CEO",04-04-2023 05:01,New York,Northeast,1966,5,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
878,3300,Construction & Engineering,Mohed Altrad,75,France,Montpellier,"Scaffolding, cement mixers",Construction & Engineering,France,,TRUE,D,M,3/9/1948 0:00,Altrad,Mohed,,04-04-2023 05:01,,,1948,3,9,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
905,3200,Food & Beverage,Karen Virginia Beckmann Legoretta,53,,,Tequila,Food & Beverage,Mexico,,FALSE,U,F,,Beckmann Legoretta,Karen Virginia,,04-04-2023 05:01,,,,,,,,,,,,,,,,
949,3100,Manufacturing,Cho Tak Wong,76,China,Fuqing,Auto parts,Manufacturing,Hong Kong,,TRUE,D,M,5/15/1946 0:00,Cho,Tak Wong,,04-04-2023 05:01,,,1946,5,15,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
982,3000,Diversified,Abdulla bin Ahmad Al Ghurair & family,,United Arab Emirates,Dubai,Diversified,Diversified,United Arab Emirates,,FALSE,U,M,,Al Ghurair,Abdulla bin Ahmad,Athlete,04-04-2023 05:01,,,,,,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818
1027,2900,Fashion & Retail,Isak Andic & family,69,Spain,Barcelona,Fashion retail,Fashion & Retail,Spain,,TRUE,U,M,10/20/1953 0:00,Andic,Isak,,04-04-2023 05:01,,,1953,10,20,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47,47076781,40.463667,-3.74922
1067,2800,Fashion & Retail,Joy Alukkas,66,India,Cochin,Jewelry,Fashion & Retail,India,,FALSE,U,M,9/4/1956 0:00,Alukkas,Joy,,04-04-2023 05:01,,,1956,9,4,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
1104,2700,Finance & Investments,Jose Joao Abdalla Filho,77,Brazil,Rio de Janeiro,Investments,Finance & Investments,Brazil,,FALSE,D,M,5/30/1945 0:00,Abdalla Filho,Jose Joao,,04-04-2023 05:01,,,1945,5,30,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528
1164,2600,Real Estate,Ben Ashkenazy,53,United States,New York,Real estate,Real Estate,United States,,TRUE,D,M,9/23/1969 0:00,Ashkenazy,Ben,,04-04-2023 05:01,New York,Northeast,1969,9,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1217,2500,Food & Beverage,S. Daniel Abraham,98,United States,Palm Beach,Slim-Fast,Food & Beverage,United States,S. Daniel Abraham Center for Middle East Peace,TRUE,U,M,8/15/1924 0:00,Abraham,S. Daniel,Chairman,04-04-2023 05:01,Florida,South,1924,8,15,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1272,2400,Technology,Brian Acton,51,United States,Palo Alto,WhatsApp,Technology,United States,WhatsApp Inc.,TRUE,D,M,2/17/1972 0:00,Acton,Brian,Cofounder,04-04-2023 05:01,California,West,1972,2,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1312,2300,Finance & Investments,John Armitage,63,United Kingdom,London,Hedge funds,Finance & Investments,Ireland,Egerton Capital,TRUE,D,M,12/1/1959 0:00,Armitage,John,,04-04-2023 05:01,,,1959,12,1,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
1368,2200,Real Estate,George Argyros & family,86,United States,Newport Beach,"Real estate, investments",Real Estate,United States,Arnel & Affiliates,TRUE,D,M,2/4/1937 0:00,Argyros,George,Investor,04-04-2023 05:01,California,West,1937,2,4,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1434,2100,Metals & Mining,Alex Beard,55,United Kingdom,London,"Mining, commodities",Metals & Mining,United Kingdom,,TRUE,D,M,8/3/1967 0:00,Beard,Alex,,04-04-2023 05:01,,,1967,8,3,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
1516,2000,Construction & Engineering,Anu Aga,80,India,Pune,Engineering,Construction & Engineering,India,,FALSE,U,F,8/1/1942 0:00,Aga,Anu,,04-04-2023 05:01,,,1942,8,1,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
1575,1900,Diversified,Roberto Angelini Rossi,74,Chile,Santiago,"Forestry, mining",Diversified,Chile,,FALSE,U,M,7/30/1948 0:00,Angelini Rossi,Roberto,,04-04-2023 05:01,,,1948,7,30,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80,18.2,34,18952038,-35.675147,-71.542969
1647,1800,Technology,Cameron Adams,43,Australia,Sydney,Software,Technology,Australia,,TRUE,D,M,12/26/1979 0:00,Adams,Cameron,,04-04-2023 05:01,,,1979,12,26,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
1725,1700,Sports,Amy Adams Strunk,67,United States,Nashville,Tennessee Titans,Sports,United States,Tennessee Titans,FALSE,N,F,9/29/1955 0:00,Adams Strunk,Amy,Owner,04-04-2023 05:01,Tennessee,South,1955,9,29,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1804,1600,Healthcare,Noubar Afeyan,60,United States,Lexington,Biotech,Healthcare,United States,,TRUE,D,M,7/25/1962 0:00,Afeyan,Noubar,,04-04-2023 05:01,Massachusetts,Northeast,1962,7,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1905,1500,Food & Beverage,Shiv Kishan Agrawal,82,India,Nagpur,Snacks,Food & Beverage,India,,FALSE,N,M,1/1/1941 0:00,Agrawal,Shiv Kishan,,04-04-2023 05:01,,,1941,1,1,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
2020,1400,Diversified,Antti Aarnio-Wihuri,83,Finland,Helsinki,Diversified,Diversified,Finland,,FALSE,D,M,2/24/1940 0:00,Aarnio-Wihuri,Antti,,04-04-2023 05:01,,,1940,2,24,112.33,1,"$268,761,201,365 ",88.2,100.2,81.7,20.8,36.6,5520314,61.92411,25.748151
2133,1300,Automotive,A. Jayson Adair,53,United States,Dallas,Damaged cars,Automotive,United States,,TRUE,U,M,10/16/1969 0:00,Adair,A. Jayson,,04-04-2023 05:01,Texas,South,1969,10,16,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2259,1200,Finance & Investments,Sanjay Agarwal,52,India,Jaipur,Banking,Finance & Investments,India,,TRUE,E,M,9/8/1970 0:00,Agarwal,Sanjay,,04-04-2023 05:01,,,1970,9,8,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
2405,1100,Fashion & Retail,Hari Krishan Agarwal,66,India,Delhi,Sports shoes,Fashion & Retail,India,,TRUE,N,M,4/5/1956 0:00,Agarwal,Hari Krishan,,04-04-2023 05:01,,,1956,4,5,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
2540,1000,Food & Beverage,Manohar Lal Agarwal,68,India,Delhi,Snacks,Food & Beverage,India,,FALSE,N,M,10/30/1954 0:00,Agarwal,Manohar Lal,,04-04-2023 05:01,,,1954,10,30,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
